polygon_name,tahun,movement_change_mean,movement_change_min,movement_change_max,stay_put_mean,n_records
Gorontalo,2022,-0.0748544366197183,-0.35856,0.33195,0.2558421830985916,142
Gorontalo Utara,2021,0.10659186301369863,-0.23122,0.38687,0.24861901369863015,365
Gorontalo Utara,2022,-0.012176478873239438,-0.31423,0.32593,0.28842352112676056,142
Gowa,2021,-0.08302717808219177,-0.40754,0.11739,0.21236175342465752,365
Gowa,2022,-0.2335907042253521,-0.47302,0.04165,0.25984408450704227,142
Gresik,2021,-0.12375917808219178,-0.43944,0.02951,0.20684287671232876,365
Gresik,2022,-0.3096297887323944,-0.54958,-0.0311,0.27064859154929577,142
Grobogan,2021,-0.09806860273972602,-0.46243,0.07097,0.23049517808219178,365
Grobogan,2022,-0.28981781690140845,-0.52644,0.03358,0.2960560563380282,142
Gunung Kidul,2021,-0.12087208219178082,-0.44169,0.06978,0.19332161643835616,365
Gunung Kidul,2022,-0.24038830985915494,-0.46203,0.16019,0.23863485915492957,142
Gunung Mas,2021,-0.04276046575342466,-0.34576,0.16304,0.26672547945205477,365
Gunung Mas,2022,-0.17383943661971832,-0.31128,0.07337,0.3281051408450704,142
Gunungsitoli,2021,-0.02012657534246575,-0.24155,0.18664,0.19723580821917808,365
Gunungsitoli,2022,-0.13995661971830986,-0.30784,0.22687,0.24522852112676058,142
Halmahera Barat,2021,0.021469917808219177,-0.3175,0.23971,0.2515414520547945,365
Halmahera Barat,2022,-0.07701654929577466,-0.40526,0.17744,0.3006014084507042,142
Halmahera Selatan,2021,-0.021984904109589042,-0.2111,0.21643,0.241821698630137,365
Halmahera Selatan,2022,-0.06500619718309858,-0.21348,0.04962,0.2570156338028169,142
Halmahera Tengah,2021,0.1466887397260274,-0.08815,0.34449,0.15050197260273973,365
Halmahera Tengah,2022,0.103195,-0.07392,0.30559,0.18813169014084508,142
Halmahera Timur,2021,0.046134356164383564,-0.16463,0.298,0.23323126027397262,365
Halmahera Timur,2022,-0.010255140845070423,-0.20659,0.18447,0.26984577464788734,142
Halmahera Utara,2021,0.03838241095890411,-0.28896,0.25174,0.22923400000000002,365
Halmahera Utara,2022,-0.0681862676056338,-0.27068,0.20147,0.2671285211267606,142
Hulu Sungai Selatan,2021,-0.08933224657534247,-0.45605,0.06176,0.23090068493150687,365
Hulu Sungai Selatan,2022,-0.2718056338028169,-0.54547,0.04508,0.3048646478873239,142
Hulu Sungai Tengah,2021,-0.060921424657534244,-0.48128,0.08917,0.2213640821917808,365
Hulu Sungai Tengah,2022,-0.22798,-0.47032,0.0959,0.292161338028169,142
Hulu Sungai Utara,2021,-0.003480301369863014,-0.32172,0.20304,0.23371167123287673,365
Hulu Sungai Utara,2022,-0.1948680985915493,-0.45045,0.18241,0.3116480985915493,142
Humbang Hasundutan,2021,-0.057671917808219175,-0.30246,0.51196,0.21685120547945205,365
Humbang Hasundutan,2022,-0.14868950704225353,-0.32209,0.54756,0.26266464788732397,142
Indragiri Hilir,2021,-0.02064487671232877,-0.25552,0.19449,0.2305114794520548,365
Indragiri Hilir,2022,-0.14528732394366198,-0.35079,0.10301,0.2805997887323944,142
Indragiri Hulu,2021,0.02209621917808219,-0.25924,0.2135,0.21345983561643836,365
Indragiri Hulu,2022,-0.08723281690140845,-0.25074,0.19563,0.25974183098591547,142
Indramayu,2021,-0.055826356164383556,-0.37447,0.22122,0.25805575342465753,365
Indramayu,2022,-0.25839415492957746,-0.49425,0.12978,0.33241830985915494,142
Jakarta Barat,2021,-0.21264293150684932,-0.47931,-0.00712,0.2713433150684932,365
Jakarta Barat,2022,-0.34204422535211265,-0.52188,-0.11157,0.3159587323943662,142
Jakarta Pusat,2021,-0.2481587671232877,-0.49989,-0.02507,0.27162128767123284,365
Jakarta Pusat,2022,-0.3510266901408451,-0.53501,-0.12185,0.3075228169014084,142
Jakarta Selatan,2021,-0.26255046575342467,-0.51254,-0.07505,0.28650961643835615,365
