provinsi,tahun,migrasi_masuk,migrasi_keluar,migrasi_neto,sumber
Yogyakarta,2010,227364.0,103492.0,123872.0,BPS Sensus/SUPAS
Jawa Timur,2010,243061.0,528370.0,-285309.0,BPS Sensus/SUPAS
Banten,2010,465080.0,192983.0,272097.0,BPS Sensus/SUPAS
Bali,2010,102425.0,41216.0,61209.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,2010,47648.0,40982.0,6666.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,2010,49339.0,67484.0,-18145.0,BPS Sensus/SUPAS
Kalimantan Barat,2010,42650.0,42144.0,506.0,BPS Sensus/SUPAS
Kalimantan Tengah,2010,122969.0,34506.0,88463.0,BPS Sensus/SUPAS
Kalimantan Selatan,2010,103455.0,55292.0,48163.0,BPS Sensus/SUPAS
Kalimantan Timur,2010,213558.0,73039.0,140519.0,BPS Sensus/SUPAS
Kalimantan Utara,2010,,,,BPS Sensus/SUPAS
Sulawesi Utara,2010,48042.0,45473.0,2569.0,BPS Sensus/SUPAS
Sulawesi Tengah,2010,61961.0,39174.0,22787.0,BPS Sensus/SUPAS
Sulawesi Selatan,2010,120638.0,208570.0,-87932.0,BPS Sensus/SUPAS
Sulawesi Tenggara,2010,64097.0,42613.0,21484.0,BPS Sensus/SUPAS
Gorontalo,2010,26695.0,16820.0,9875.0,BPS Sensus/SUPAS
Sulawesi Barat,2010,37206.0,20053.0,17153.0,BPS Sensus/SUPAS
Maluku,2010,29236.0,30179.0,-943.0,BPS Sensus/SUPAS
Maluku Utara,2010,24462.0,14887.0,9575.0,BPS Sensus/SUPAS
Papua Barat,2010,53905.0,16835.0,37070.0,BPS Sensus/SUPAS
Papua,2010,66562.0,38803.0,27759.0,BPS Sensus/SUPAS
Aceh,2015,40616.0,39649.0,967.0,BPS Sensus/SUPAS
Sumatera Utara,2015,142774.0,270157.0,-127383.0,BPS Sensus/SUPAS
Sumatera Barat,2015,138826.0,139548.0,-722.0,BPS Sensus/SUPAS
Riau,2015,215350.0,131711.0,83639.0,BPS Sensus/SUPAS
Jambi,2015,67574.0,66794.0,780.0,BPS Sensus/SUPAS
Sumatera Selatan,2015,75760.0,110308.0,-34548.0,BPS Sensus/SUPAS
Bengkulu,2015,38574.0,27477.0,11097.0,BPS Sensus/SUPAS
Lampung,2015,81200.0,124478.0,-43278.0,BPS Sensus/SUPAS
Bangka Belitung,2015,32417.0,21554.0,10863.0,BPS Sensus/SUPAS
Kepulauan Riau,2015,189498.0,67520.0,121978.0,BPS Sensus/SUPAS
Jakarta Raya,2015,499101.0,706353.0,-207252.0,BPS Sensus/SUPAS
Jawa Barat,2015,750999.0,506573.0,244426.0,BPS Sensus/SUPAS
Jawa Tengah,2015,518103.0,647482.0,-129379.0,BPS Sensus/SUPAS
Yogyakarta,2015,208257.0,84915.0,123342.0,BPS Sensus/SUPAS
Jawa Timur,2015,315543.0,421349.0,-105806.0,BPS Sensus/SUPAS
Banten,2015,324472.0,207385.0,117087.0,BPS Sensus/SUPAS
Bali,2015,139849.0,50887.0,88962.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,2015,105470.0,46504.0,58966.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,2015,66123.0,66115.0,8.0,BPS Sensus/SUPAS
Kalimantan Barat,2015,37359.0,34994.0,2365.0,BPS Sensus/SUPAS
Kalimantan Tengah,2015,78396.0,52463.0,25933.0,BPS Sensus/SUPAS
Kalimantan Selatan,2015,86621.0,55117.0,31504.0,BPS Sensus/SUPAS
Kalimantan Timur,2015,120005.0,101169.0,18836.0,BPS Sensus/SUPAS
Kalimantan Utara,2015,34691.0,18478.0,16213.0,BPS Sensus/SUPAS
Sulawesi Utara,2015,33559.0,35851.0,-2292.0,BPS Sensus/SUPAS
Sulawesi Tengah,2015,62862.0,37416.0,25446.0,BPS Sensus/SUPAS
Sulawesi Selatan,2015,136430.0,177336.0,-40906.0,BPS Sensus/SUPAS
Sulawesi Tenggara,2015,57523.0,46234.0,11289.0,BPS Sensus/SUPAS
Gorontalo,2015,15034.0,17110.0,-2076.0,BPS Sensus/SUPAS
Sulawesi Barat,2015,33941.0,27439.0,6502.0,BPS Sensus/SUPAS
Maluku,2015,25317.0,37157.0,-11840.0,BPS Sensus/SUPAS
Maluku Utara,2015,20173.0,14617.0,5556.0,BPS Sensus/SUPAS
Papua Barat,2015,59777.0,20188.0,39589.0,BPS Sensus/SUPAS
Papua,2015,61203.0,47849.0,13354.0,BPS Sensus/SUPAS
